FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58bc,"MULTILINESTRING ((-38.467523554948215 -3.7497001806799912, -38.4683392604596 -3.752436513494831, -38.47294534699056 -3.750949341895604, -38.47474414676382 -3.75311315497103))",14,Galeria,Drenagem geral,1165.024,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58ba,"MULTILINESTRING ((-38.46989631949432 -3.7463222210130116, -38.468613598285074 -3.7422516194924555))",15,Galeria,Drenagem geral,472.138,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58b9,"MULTILINESTRING ((-38.48346280916879 -3.7341339796422326, -38.48153869254064 -3.7349066069183325, -38.48003942721767 -3.7359291787495947, -38.478738430038526 -3.7373506833270036, -38.47740499035084 -3.739229797093905))",16,Galeria,Drenagem geral,900.197,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58b7,"MULTILINESTRING ((-38.471445028805014 -3.7344624262096366, -38.470842543831424 -3.73600808238598))",17,Galeria,Drenagem geral,183.553,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58b5,"MULTILINESTRING ((-38.470842543831424 -3.73600808238598, -38.471324640274624 -3.735872869649326))",18,Galeria,Drenagem geral,55.601,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58b3,"MULTILINESTRING ((-38.471324640274624 -3.735872869649326, -38.47202574114247 -3.7370779839636823))",19,Galeria,Drenagem geral,154.35,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58b2,"MULTILINESTRING ((-38.47202574114247 -3.7370779839636823, -38.473088415012384 -3.7372191718272263))",20,Galeria,Drenagem geral,119.074,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58b0,"MULTILINESTRING ((-38.47124323080733 -3.7378806392519053, -38.471503362192394 -3.7385487048681507))",21,Galeria,Drenagem geral,79.325,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58ae,"MULTILINESTRING ((-38.471503362192394 -3.7385487048681507, -38.469758482450324 -3.7391299164783303))",22,Galeria,Drenagem geral,204.206,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58ad,"MULTILINESTRING ((-38.50647625836437 -3.797774535568112, -38.50784067402551 -3.7980681257640656))",23,Galeria,Drenagem geral,154.993,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
