FID,id,The_geom,sigla,nome,area_m2,perimetro_m,legislacao,obs,fonte,epsg_codif,ano_ref
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_1164,3,"MULTIPOLYGON (((-38.576407728579966 -3.765182820258264, -38.57536657722414 -3.763214741927388, -38.57548783963234 -3.7631795116496374, -38.57411089055788 -3.7605342741098324, -38.57249199727081 -3.7611326710057487, -38.570878411185504 -3.761987851185146, -38.57341175859908 -3.7667812612548, -38.576407728579966 -3.765182820258264)))",OUC,OPERAÇÃO URBANA CONSORCIADA JOCKEY CLUBE,228738,1961.77,"LEI N 9333, DE 28 DE DEZEMBRO DE 2007",PUBLICADA NO DOM 13.745 DE 24/01/2008,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_1165,1,"MULTIPOLYGON (((-38.484143484208246 -3.7233213360441293, -38.4833026588066 -3.7231135411892087, -38.48329591860106 -3.7233300804740614, -38.48313572204174 -3.723302531455932, -38.483083715354695 -3.7236153398938154, -38.48279884980727 -3.7235764591899536, -38.48281622028583 -3.7234680459299514, -38.482573861692785 -3.7234191364475935, -38.48249546985325 -3.723652220166652, -38.48230725860733 -3.7236092979367794, -38.4821726062476 -3.723912880610447, -38.48208459960976 -3.7241046136852516, -38.482283048376125 -3.724238064047743, -38.48284105793226 -3.724615368824877, -38.483321957694095 -3.7249143405240703, -38.483536980187765 -3.7250269636874345, -38.48350846639659 -3.7245942843289113, -38.48355242772628 -3.7245245068828554, -38.48367821882954 -3.724527699080844, -38.48435085846569 -3.7245166882810197, -38.484143484208246 -3.7233213360441293)))",OUC,OPERAÇÃO URBANA CONSORCIADA PARQUE FOZ DO RIACHO MACEIO,30270,824.52,"LEI N 8503, DE 26 DE DEZEMBRO DE 2000",PUBLICADA NO DOM 12.267 DE 04/02/2002,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_1166,2,"MULTIPOLYGON (((-38.44838920107681 -3.763985692159848, -38.4429482741078 -3.7751869548271366, -38.453968014720445 -3.7673368693076372, -38.45488181440747 -3.7669452200846423, -38.45578033956054 -3.7667817630332765, -38.456910619948125 -3.7668643793471124, -38.458993113153845 -3.7676038753681134, -38.4600825318007 -3.7677549231724528, -38.46231922701927 -3.7672508010881316, -38.46713328322847 -3.765626191333484, -38.468549587338984 -3.7652607113870373, -38.46936931071562 -3.765050735752287, -38.47003683084154 -3.7645535784474298, -38.47361990305739 -3.7605571016667936, -38.475795266838375 -3.759004593644958, -38.479574561966714 -3.756350530215792, -38.47797474328275 -3.7520654218839398, -38.46919105039372 -3.754898633393072, -38.46314795175107 -3.7569373475389147, -38.4616003675754 -3.756781335821158, -38.461349771398716 -3.7568459741659295, -38.46089831575834 -3.7573560953043352, -38.4607230046094 -3.7574574555591296, -38.46030060702111 -3.7576381261423846, -38.45996961548459 -3.757963925150231, -38.459663014774506 -3.758111659284408, -38.459321245245015 -3.7582239184757595, -38.45906788428493 -3.7582058307732544, -38.458678774106154 -3.7580476804795615, -38.45837827701002 -3.7579985928585886, -38.45797140102796 -3.758117127307711, -38.45758736923859 -3.7582835576580265, -38.456814773059946 -3.7596850973232647, -38.45659508431025 -3.7598455171402376, -38.45639442819747 -3.7599578631770614, -38.454902726753595 -3.7604779247703717, -38.45450767836909 -3.76081488746379, -38.450927377247716 -3.7619487573765613, -38.45052832682372 -3.7619299637647683, -38.449581613716106 -3.76150331869796, -38.44838920107681 -3.763985692159848)))",OUC,OPERAÇÃO URBANA CONSORCIADA DUNAS DO COCÓ,3354726,10422.88,"LEI N 8915, DE 23 DE DEZEMBRO DE 2004",PUBLICADA NO DOM 12.983 DE 23/12/2004,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_1167,6,"MULTIPOLYGON (((-38.46892507012013 -3.7431261471358686, -38.4744075975518 -3.74134817452609, -38.47379235137911 -3.7394335130977727, -38.46913759362659 -3.7409538129338493, -38.46877836479962 -3.7426084277353526, -38.46892507012013 -3.7431261471358686)))",OUC,OPERAÇÃO URBANA CONSORCIADA LAGOA DO PAPICU - SHOPPING RIOMAR,133942,1652.95,LEI Nº 9857 DE 22 DE DEZEMBRO DE 2011,PUBLICADA NO DOM 14.808 DE 08/06/2012,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_1168,4,"MULTIPOLYGON (((-38.4925628098341 -3.7756486939334937, -38.49184820918825 -3.7759003588809383, -38.49193734157676 -3.7762021261169045, -38.49220672947243 -3.776444151622979, -38.49252018486999 -3.776781588974762, -38.492603653958376 -3.7769130456000175, -38.49260256645771 -3.7769522539894824, -38.492595162397464 -3.7770445907316876, -38.492992559377974 -3.777466935960704, -38.4931050925276 -3.77753270317671, -38.49311120810175 -3.777542568910847, -38.49312471667983 -3.7775261676291465, -38.49349015727774 -3.7778505525336863, -38.49326550829053 -3.77805514034445, -38.49302310186724 -3.7782387867853133, -38.49248149143455 -3.7785615717966343, -38.49185900727569 -3.7787556770922954, -38.4910456704961 -3.778987972280925, -38.49072856195223 -3.7790820729261476, -38.49045840437631 -3.7792086075872615, -38.49028770019495 -3.779347005558826, -38.490111277962974 -3.7796439958152632, -38.49011581097358 -3.780593781748419, -38.49025030721387 -3.781045691636783, -38.49039564386639 -3.7813472478355927, -38.490576297324246 -3.7817993173260622, -38.49079229311882 -3.782313427046635, -38.490884465395666 -3.7824443684991294, -38.490899862534334 -3.7828891644195752, -38.490802418905474 -3.7830501809857413, -38.49098085202529 -3.783679752342033, -38.49188837741697 -3.7835910512401427, -38.49176013896515 -3.782488968255025, -38.493492931362276 -3.7815227722564764, -38.49378791552378 -3.7826105714778686, -38.49431486581984 -3.782365034307879, -38.49499049054277 -3.7819583519075697, -38.49454225927398 -3.7788805269501107, -38.49460463143747 -3.7782808515429145, -38.49464871011717 -3.777985102104991, -38.49466047403517 -3.777734017632805, -38.49465083326216 -3.7776329456377176, -38.494451809707286 -3.776932757066859, -38.494427755986365 -3.776854962831743, -38.494047671234405 -3.7771869555564006, -38.49408503982274 -3.7772304787049764, -38.494081810723934 -3.777286506781622, -38.49398559262432 -3.777384969518346, -38.49343673566853 -3.776859093011238, -38.493388572483255 -3.776684581958874, -38.49282388710929 -3.7761542194882525, -38.49275125355164 -3.776045110901126, -38.4925628098341 -3.7756486939334937)))",OUC,OPERAÇÃO URBANA CONSORCIADA SITIO TUNGA,247019,2914.64,"LEI Nº 9778, DE 24 DE MAIO DE 2011",PUBLICADA NO DOM 14.592 DE 19/07/2011,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_1169,5,"MULTIPOLYGON (((-38.47379235137911 -3.7394335130977727, -38.4733219486235 -3.7379696033943275, -38.46978072291923 -3.739100864561263, -38.469248332271825 -3.740443746907984, -38.46913759362659 -3.7409538129338493, -38.47379235137911 -3.7394335130977727)))",OUC,OPERAÇÃO URBANA CONSORCIADA LAGOA DO PAPICU - RESIDENCIAIS,82830,1344.17,LEI Nº 9857 DE 22 DE DEZEMBRO DE 2011,PUBLICADA NO DOM 14.808 DE 08/06/2012,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_116a,8,"MULTIPOLYGON (((-38.46556502368446 -3.804180642740862, -38.46547192405573 -3.8052426748466144, -38.462622185077045 -3.807148348120488, -38.462562430811175 -3.807863236539096, -38.46461177823655 -3.8079480344661634, -38.46733709933898 -3.8078379625992453, -38.46867576438519 -3.807917391148377, -38.47148842103828 -3.8076085476062005, -38.478036611853135 -3.808198471834134, -38.47845662456947 -3.8031729105152032, -38.47084745976545 -3.8025053877600534, -38.46911642409709 -3.8023689127699556, -38.46683639952501 -3.8022374048327063, -38.46579274540168 -3.802152384988771, -38.46572551878422 -3.8035650453979093, -38.46556502368446 -3.804180642740862)))",OUC,OPERAÇÃO URBANA CONSORCIADA PARQUE URBANO DA LAGOA DA SAPIRANGA,878375,4497.46,"LEI Nº 10.404, DE 13 DE OUTUBRO DE 2015",PUBLICADA NO DOM 14.592 DE 19/10/2015,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
vw_OperacaoUrbanaConsorciada.fid--16360be6_188534013f0_116b,7,"MULTIPOLYGON (((-38.607428724169 -3.8156131330590672, -38.606940983308036 -3.8159264412998812, -38.60838109317979 -3.8185938301793687, -38.609653455640334 -3.818009601765022, -38.610253951917194 -3.819208734163979, -38.61063032797509 -3.8190107201869203, -38.61134502583814 -3.8204968614237944, -38.61008510360441 -3.8210573659916904, -38.612220876889246 -3.8251891694968467, -38.613579086410866 -3.824382761105052, -38.61486737140014 -3.82361786537505, -38.62134095783907 -3.817140880401842, -38.62092273041548 -3.816613436519709, -38.62094701169255 -3.816578860600806, -38.62096003874705 -3.816538629607035, -38.62096037026352 -3.8164964450964836, -38.62094889932163 -3.816456147364963, -38.6209250380514 -3.816420724048399, -38.62089213110626 -3.8163942108602593, -38.6208529250274 -3.816378866819619, -38.62081093077777 -3.8163759105787447, -38.62077114286736 -3.816389944794434, -38.62071945554687 -3.816414859329017, -38.62068319839235 -3.816440824608052, -38.62064772184538 -3.816474161505715, -38.620636843438106 -3.8164788862800676, -38.62057693976391 -3.816474157995907, -38.62051696368259 -3.8164900847707623, -38.62049532877043 -3.8165028146210163, -38.62046945177592 -3.8165028031608386, -38.62040613126858 -3.816527391820215, -38.620366123840576 -3.8165594815766957, -38.62033249804657 -3.8166416474860183, -38.62030283424778 -3.8167141320930167, -38.62027338574427 -3.8167311292796198, -38.62024929192782 -3.816745761019846, -38.62021718791417 -3.816761611284477, -38.620154522803695 -3.8167959663012088, -38.62011373708511 -3.8168122026410236, -38.62006547770504 -3.816842946064326, -38.62003910390228 -3.816854232972221, -38.61998645762825 -3.816903428583778, -38.61989432871721 -3.816877451871611, -38.61988092111361 -3.81687649919051, -38.619871389570896 -3.8168634623127513, -38.61981038217384 -3.8168344807384327, -38.61975863317185 -3.8168261417140825, -38.619696085799355 -3.8167307715981926, -38.61965621406066 -3.8166901753028037, -38.61960434273303 -3.8166636173886115, -38.61956709033597 -3.8166504116316355, -38.61953685769659 -3.8166354990249034, -38.61950129564236 -3.8166208748104062, -38.619428017844605 -3.816602816043435, -38.61936392682692 -3.8166222567394783, -38.61931788174348 -3.8166301244278347, -38.619313898964336 -3.8166336572139254, -38.61931198296042 -3.816633218070201, -38.61925079393961 -3.816647560774226, -38.61921726373592 -3.8166704070630795, -38.619184579644724 -3.8166783581238684, -38.61912091308626 -3.816692217879374, -38.61908216073321 -3.816698218800657, -38.619040444979994 -3.8167071455729586, -38.61899186543189 -3.8167334293225923, -38.61898503111674 -3.816729705654051, -38.618926669082846 -3.8167072553534496, -38.61888046495065 -3.8167005983701694, -38.61886122362679 -3.816696191689146, -38.61882714090462 -3.816672999689617, -38.61878261183556 -3.816645940213135, -38.618610094856905 -3.816563933542118, -38.6185713007951 -3.816556760008866, -38.618556207776855 -3.8165567532907136, -38.61851238200001 -3.8165320195163344, -38.618504995098064 -3.8165290505345015, -38.61844708730209 -3.816453067269421, -38.618416540348406 -3.8164567320079725, -38.61836190523329 -3.816462838355011, -38.618308157598285 -3.8164482019584813, -38.61824667850782 -3.816440105181181, -38.61821604869285 -3.8164457035034136, -38.61814631500284 -3.8163996619651313, -38.61806417898947 -3.816421639697437, -38.61797245625271 -3.8164347659569025, -38.61791471175903 -3.8164680730390073, -38.61784193725303 -3.8164566418126107, -38.61778639142086 -3.81648954679279, -38.61776915846506 -3.8164544984402524, -38.61773132589252 -3.8163873554855705, -38.617655773959186 -3.8162803210662397, -38.6174818431279 -3.8161241942244986, -38.61747236738553 -3.8161241899951484, -38.617439733790036 -3.8160753754997097, -38.61733073175274 -3.8160335591467653, -38.61730185544905 -3.8160365798738347, -38.61717773857268 -3.815961369415677, -38.617034750646845 -3.8159950650219243, -38.616951402710185 -3.8160288572366943, -38.616922121479654 -3.816047360203541, -38.616897283661025 -3.8160473491013467, -38.61681592709084 -3.816040101224922, -38.6167378101945 -3.816038281474803, -38.61664684500371 -3.816022870029407, -38.616599030576964 -3.816040082525795, -38.616502893688995 -3.8156589077618297, -38.6165948365304 -3.8156444263029967, -38.61627722829441 -3.814690443489004, -38.61563458791174 -3.8148984937016333, -38.61579941604068 -3.814381139875215, -38.61581088104377 -3.8142913897631843, -38.61581092362535 -3.814195500752141, -38.615794322091226 -3.8141007388349752, -38.61576405161134 -3.8140086647745766, -38.615768505272136 -3.8138946758613446, -38.61578523784557 -3.813781642578225, -38.61581333149942 -3.813669613806715, -38.61585549867087 -3.8135514836571156, -38.61592437537047 -3.813260851053617, -38.61595305116503 -3.8130016690143638, -38.61595315576181 -3.812765957084432, -38.61592786569646 -3.8125250908357313, -38.615905654289136 -3.8124350626481136, -38.615891777597795 -3.812385769386666, -38.61896761844016 -3.8113860275230858, -38.61897554968279 -3.8113646657190974, -38.61851978998873 -3.8106092048029896, -38.618475479253185 -3.8106091851066854, -38.61845366912537 -3.8106499979387314, -38.61836209961285 -3.8107461819001647, -38.6183039642111 -3.8107986421902544, -38.61824857484855 -3.8108499726473153, -38.6181344891193 -3.8109410437228437, -38.61801023678103 -3.8110248205115678, -38.61789107663057 -3.8110918330906363, -38.61774994453345 -3.8111613515034186, -38.6176185724237 -3.8112105037810604, -38.61752048452539 -3.811240338096778, -38.61731905771186 -3.811292388316676, -38.61708338057951 -3.8113512773632503, -38.61640617374823 -3.810243510980869, -38.616129684187456 -3.8103940132145393, -38.61611678749152 -3.810365657531325, -38.616083529000505 -3.8103188869032123, -38.6160354174488 -3.8102844408914662, -38.61514290745097 -3.809813086188932, -38.614678092976355 -3.8098733659231967, -38.6147115581359 -3.809920427430803, -38.61485351239647 -3.8100623255992287, -38.61496331576577 -3.810132272417567, -38.61541712862989 -3.810371550129332, -38.61553390571132 -3.810431909775765, -38.615737285805515 -3.810537530870188, -38.61582419378436 -3.8105848228261916, -38.614197932959364 -3.8114852622623507, -38.61217519133688 -3.812703969262062, -38.61143654832847 -3.8131252082202804, -38.608329082134816 -3.8095392666752312, -38.60743616259687 -3.8102913714708317, -38.605413872729244 -3.808178161132831, -38.59938014108891 -3.812068885716133, -38.600467139484984 -3.8136867467282567, -38.60054249090889 -3.8137958742129765, -38.60064916655633 -3.813909168652879, -38.600699020807 -3.813953349895774, -38.60080371303249 -3.814027355275713, -38.60101900316772 -3.8141757133442358, -38.60134374595294 -3.814398707365262, -38.60140028429213 -3.8144371475698766, -38.60144585120987 -3.8144556579456466, -38.601496265949955 -3.8144751436287296, -38.601608714000065 -3.8145530449516354, -38.60163778434176 -3.8145968485713335, -38.60169787376718 -3.814664994397586, -38.60180061045049 -3.8147740308412748, -38.601886499328444 -3.814857089630463, -38.60195960472987 -3.814905511489651, -38.6020368458064 -3.814940142390616, -38.60207499155913 -3.8149512090382345, -38.602154023351964 -3.814966547271311, -38.60219603211705 -3.8149665667654657, -38.602243019758546 -3.8149665885676285, -38.60233638078938 -3.8149491444181343, -38.60239755699314 -3.814928945628868, -38.602468923609415 -3.814892724608542, -38.604239619408176 -3.813798156015444, -38.6042952409739 -3.8137834081506936, -38.60435617385924 -3.8137789221172826, -38.60441382994761 -3.8137859251079216, -38.604472707680515 -3.813804419264392, -38.60452560483222 -3.8138341060311625, -38.60457056982071 -3.813872291786909, -38.60460653565614 -3.8139166291016164, -38.60477833313539 -3.81415439302959, -38.60515680880459 -3.814627139047478, -38.6055237337674 -3.8149717988319356, -38.6058725314083 -3.8152247768167946, -38.605927015832606 -3.81526299153745, -38.605987130313494 -3.8152876262884527, -38.6060472497593 -3.815300976789847, -38.6061112389232 -3.815301006195137, -38.60617353208618 -3.8152894949145666, -38.606777372927986 -3.815113287373087, -38.60687908125912 -3.8150831383971155, -38.60693583588473 -3.8150748931071012, -38.60699353618146 -3.8150749195612743, -38.60704951914511 -3.8150887052647913, -38.60710206745253 -3.8151170138814985, -38.60714585178592 -3.815154109691363, -38.607182696503756 -3.815201013067097, -38.607428724169 -3.8156131330590672)))",OUC,OPERAÇÃO URBANA CONSORCIADA OSÓRIO DE PAIVA,1798845,8813.04,"LEI Nº 10.403, DE 13 DE OUTUBRO DE 2015",PUBLICADA NO DOM 14.592 DE 19/10/2015,SEUMA,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,2022
