FID,id,the_geom,nome,nome_pop,fonte,anoref,epsg_codif,bairro,cod_bairro,area m2
vw_PracasFortaleza.fid--16360be6_188532c53aa_71db,403,"MULTIPOLYGON (((-38.54494174013482 -3.7641135724113903, -38.54494773513049 -3.7640984202761167, -38.544636989112135 -3.763782906719295, -38.54475522877673 -3.764163232418593, -38.54477215915756 -3.7641707312624235, -38.54494174013482 -3.7641135724113903)))",Praça José do Patrocínio,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Montese,103,526.01
vw_PracasFortaleza.fid--16360be6_188532c53aa_71dc,425,"MULTIPOLYGON (((-38.586160656622596 -3.8151540925796184, -38.5854746075793 -3.8153245973601004, -38.58552780481437 -3.8155182374982832, -38.585636585422044 -3.815658375816083, -38.586160656622596 -3.8151540925796184)))",Praça Contorno Norte,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Conjunto Esperança,76,1659.48
vw_PracasFortaleza.fid--16360be6_188532c53aa_71dd,444,"MULTIPOLYGON (((-38.56404621919736 -3.798031802930046, -38.564074488996184 -3.798036969090508, -38.56409639022484 -3.798028498492944, -38.56431519649259 -3.797708768640828, -38.56430091660409 -3.7976939404036, -38.563829044143695 -3.7978429427527556, -38.56382490160121 -3.7978617218406487, -38.56404621919736 -3.798031802930046)))",Praça Augusto T.,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Jardim Cearense,80,924.97
vw_PracasFortaleza.fid--16360be6_188532c53aa_71de,445,"MULTIPOLYGON (((-38.607603195311455 -3.765184009369031, -38.607547561266365 -3.765177904564619, -38.6068122410788 -3.765456817786055, -38.606799879667186 -3.765518003551729, -38.608034657796644 -3.767442013571561, -38.60806962540159 -3.7674503720503125, -38.60838042543713 -3.767247517223952, -38.608405190779116 -3.767205722863279, -38.60814118777755 -3.7665786751904724, -38.607603195311455 -3.765184009369031)))",Praça da Conquista,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Conjunto Ceará I,42,18118.46
vw_PracasFortaleza.fid--16360be6_188532c53aa_71df,447,"MULTIPOLYGON (((-38.578798745622606 -3.7974934211761053, -38.57863011965396 -3.797502048624565, -38.57879882488056 -3.79749571426671, -38.578798745622606 -3.7974934211761053)), ((-38.57845512984801 -3.7975110016321847, -38.57845109669759 -3.7975112079799316, -38.57844998770591 -3.7975123149306023, -38.57845512984801 -3.7975110016321847)), ((-38.57844585596271 -3.797516439069613, -38.57842752712309 -3.7975347341755157, -38.57844421869964 -3.7979074160461423, -38.578431245541324 -3.7975491440139395, -38.57843438740528 -3.797529997523472, -38.57844585596271 -3.797516439069613)), ((-38.57845299523278 -3.7981033744847505, -38.578453359594086 -3.7981115097784515, -38.578454323771695 -3.7981126653226003, -38.57845299523278 -3.7981033744847505)), ((-38.57847003179763 -3.7981314910209174, -38.57847330784305 -3.798135417283921, -38.57847861294556 -3.7981351312805667, -38.57847003179763 -3.7981314910209174)), ((-38.57881842116341 -3.7981168118129167, -38.57882028888974 -3.7981167111211738, -38.57881388316146 -3.7979313804936075, -38.57881842116341 -3.7981168118129167)))",Praça da Igreja Nossa Senhora das Graças,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Vila Manuel Sátiro,81,12.7
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e0,467,"MULTIPOLYGON (((-38.60305918773245 -3.754298048347908, -38.60278445650784 -3.754367285081211, -38.60282963055861 -3.754659332347183, -38.60314555967872 -3.75461073639458, -38.603099541689986 -3.7543117351743294, -38.60305918773245 -3.754298048347908)))",Praça Galba Araújo,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Genibaú,44,1214.76
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e1,468,"MULTIPOLYGON (((-38.61042543393964 -3.770088602201101, -38.610129907559816 -3.7697499207704728, -38.61002710191459 -3.7698983185783836, -38.61037522908347 -3.7701588333960374, -38.61042543393964 -3.770088602201101)))",Praça Grêmio Esportivo Professor C.,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Conjunto Ceará II,75,713.67
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e2,469,"MULTIPOLYGON (((-38.566961397695806 -3.832047456035809, -38.56683117465156 -3.83209266034085, -38.56689009392478 -3.8322312456080896, -38.566961397695806 -3.832047456035809)))",Praça Ipaumirim,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Planalto Ayrton Senna,116,127.19
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e3,470,"MULTIPOLYGON (((-38.565990294467284 -3.7995492530996477, -38.565857218675355 -3.7991567129053654, -38.565839013320556 -3.799140157457419, -38.565575330150544 -3.7992359119051895, -38.565990294467284 -3.7995492530996477)))",Praça Jardim Cearense,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Jardim Cearense,80,781.81
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e4,472,"MULTIPOLYGON (((-38.58499538591373 -3.811292557897775, -38.5850087189131 -3.811268689495143, -38.58478756147142 -3.811026716265192, -38.58476060473555 -3.811283891448621, -38.58499538591373 -3.811292557897775)))",Praça José A,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Novo Mondubim,121,424.48
